cnpj,sigla,nome,perfil,setor,faturamento,tamanho,confiabilidade_ambiental,maturidade_ambiental,pontuacao_ambiental,confiabilidade_social,maturidade_social,pontuacao_social,confiabilidade_governanca,maturidade_governanca,pontuacao_governanca,pontuacao_total,nivel_risco
00000001784567,HCDI,Harbor Custom Development Inc,Inovador,Produtos de Consumo,200.0,500,Não auditada,Média,222,Não auditada,Média,221,Não auditada,Média,208,651,Alto Risco
00000001403431,HCCI,Heritage-Crystal Clean Inc,Inovador,Serviços e Suprimentos Comerciais,150.0,400,Auditada,Alta,525,Não auditada,Alta,400,Auditada,Média,300,1225,Baixo Risco
00000001115055,PNFP,Pinnacle Financial Partners Inc,Inovador,Bancos,600.0,2200,Não auditada,Média,271,Auditada,Média,328,Não auditada,Média,250,849,Alto Risco
00000001811764,PNT,POINT Biopharma Global Inc,Inovador,Biotecnologia,0.0,20,Auditada,Média,320,Não auditada,Média,221,Não auditada,Média,285,826,Alto Risco
00000001446159,POAI,Predictive Oncology Inc,Inovador,Cuidados com a Saúde,20.0,150,Não auditada,Média,278,Não auditada,Média,297,Não auditada,Média,220,795,Alto Risco
00000001622345,POLA,Polar Power Inc,Inovador,Equipamentos Elétricos,50.0,300,Não auditada,Média,200,Não auditada,Média,200,Não auditada,Média,200,600,Alto Risco
00000001145197,PODD,Insulet Corp,Inovador,Cuidados com a Saúde,298.0,2000,Não auditada,Média,215,Não auditada,Média,233,Não auditada,Média,205,653,Alto Risco
00000000833640,POWI,Power Integrations Inc,Inovador,Semicondutores,580.0,1900,Auditada,Alta,575,Não auditada,Média,285,Auditada,Média,305,1165,Baixo Risco
00000001015383,POWW,Ammo Inc,Inovador,Produtos de Lazer,150.0,500,Não auditada,Média,233,Não auditada,Média,224,Não auditada,Média,200,657,Alto Risco
00000000056868,PNRG,Primeenergy Resources Corp,Inovador,Energia,800.0,100,Não auditada,Média,200,Não auditada,Média,200,Não auditada,Média,260,660,Alto Risco
00000001766400,PNTG,Pennant Group Inc,Inovador,Cuidados com a Saúde,800.0,8000,Não auditada,Média,245,Auditada,Média,306,Não auditada,Média,200,751,Alto Risco
00000001028918,PPBI,Pacific Premier Bancorp Inc,Inovador,Bancos,600.0,2000,Auditada,Alta,565,Auditada,Média,328,Auditada,Média,315,1208,Baixo Risco
00000000914122,PPIH,Perma-Pipe International Holdings Inc,Inovador,Maquinário,100.0,400,Auditada,Alta,500,Não auditada,Média,260,Auditada,Média,300,1060,Risco Moderado
00000000802481,PPC,Pilgrims Pride Corp,Inovador,Produtos Alimentícios,4000.0,50000,Auditada,Alta,500,Auditada,Média,302,Não auditada,Média,220,1022,Risco Moderado
00000001185348,PRAA,PRA Group Inc,Inovador,Serviços Financeiros,900.0,4000,Não auditada,Alta,473,Auditada,Média,321,Auditada,Média,310,1104,Risco Moderado
00000001449792,PPSI,Pioneer Power Solutions Inc,Inovador,Equipamentos Elétricos,50.0,300,Não auditada,Média,299,Auditada,Média,305,Auditada,Média,315,919,Risco Moderado
00000001689548,PRAX,Praxis Precision Medicines Inc,Inovador,Biotecnologia,20.0,200,Não auditada,Média,200,Não auditada,Média,215,Não auditada,Média,215,630,Alto Risco
00000001588978,PRCT,Procept Biorobotics Corp,Inovador,Cuidados com a Saúde,200.0,800,Não auditada,Média,200,Não auditada,Média,224,Auditada,Média,300,724,Alto Risco
00000001784535,PRCH,Porch Group Inc,Inovador,Varejo,300.0,1500,Não auditada,Média,225,Não auditada,Média,227,Não auditada,Média,215,667,Alto Risco
00000001876431,PRE,Artisan Acquisition Corp,Inovador,Saúde,200.0,600,Não auditada,Média,245,Não auditada,Média,203,Não auditada,Média,265,713,Alto Risco
00000001046568,PRDO,Perdoceo Education Corp,Inovador,Serviços Diversificados ao Consumidor,600.0,3500,Auditada,Média,365,Não auditada,Média,297,Não auditada,Média,250,912,Risco Moderado
00000001300734,SISI,Shineco Inc,Inovador,Produtos de Consumo,30.0,200,Auditada,Média,340,Auditada,Média,346,Auditada,Média,305,991,Risco Moderado
00000001451809,SITM,SiTime Corp,Inovador,Semicondutores,200.0,800,Auditada,Alta,505,Auditada,Média,304,Auditada,Média,300,1109,Risco Moderado
00000000908937,SIRI,Sirius XM Holdings Inc,Inovador,Mídia,8700.0,9500,Não auditada,Média,240,Auditada,Média,302,Não auditada,Média,205,747,Alto Risco
00000001753673,SJ,Scienjoy Holding Corp,Inovador,Mídia,100.0,500,Não auditada,Média,260,Auditada,Média,320,Não auditada,Média,240,820,Alto Risco
00000001829427,POW,Powered Brands,Inovador,Serviços Financeiros,200.0,1000,Não auditada,Média,235,Não auditada,Média,231,Não auditada,Média,250,716,Alto Risco
00000000080420,POWL,Powell Industries Inc,Inovador,Equipamentos Elétricos,500.0,2200,Auditada,Alta,500,Não auditada,Média,240,Não auditada,Média,215,955,Risco Moderado
00000001627475,UPWK,Upwork Inc,Inovador,Serviços Profissionais,503.0,800,Não auditada,Média,275,Não auditada,Média,264,Não auditada,Média,278,817,Alto Risco
00000000883945,USAK,USA Truck Inc,Inovador,Rodovias e Ferrovias,600.0,2200,Auditada,Alta,532,Auditada,Média,311,Auditada,Média,303,1146,Risco Moderado
00000000027093,USAU,US Gold Corp,Inovador,Metais e Mineração,5.0,50,Não auditada,Alta,400,Não auditada,Média,240,Auditada,Média,300,940,Risco Moderado
00000000931584,USAP,Universal Stainless & Alloy Products Inc,Inovador,Metais e Mineração,200.0,700,Não auditada,Média,238,Não auditada,Média,231,Não auditada,Média,200,669,Alto Risco
00000000101594,USEG,US Energy Corp,Inovador,Energia,100.0,200,Não auditada,Alta,438,Não auditada,Média,265,Auditada,Média,315,1018,Risco Moderado
00000001088034,USIO,Usio Inc,Inovador,Tecnologia,70.0,300,Não auditada,Média,285,Não auditada,Média,245,Não auditada,Média,240,770,Alto Risco
00000001082554,UTHR,United Therapeutics Corp,Inovador,Biotecnologia,1600.0,1700,Não auditada,Média,233,Não auditada,Média,259,Auditada,Média,300,792,Alto Risco
00000001668243,URGN,Urogen Pharma Ltd,Inovador,Biotecnologia,30.0,200,Não auditada,Média,210,Não auditada,Média,251,Não auditada,Média,290,751,Alto Risco
00000000912615,URBN,Urban Outfitters Inc,Inovador,Varejo,4033.0,23000,Auditada,Média,335,Auditada,Média,300,Auditada,Média,300,935,Risco Moderado
00000001789299,UTME,Utime Ltd,Inovador,Equipamentos Elétricos,50.0,300,Não auditada,Média,217,Não auditada,Média,200,Não auditada,Média,200,617,Alto Risco
00000001452965,UTRS,Minerva Surgical Inc,Inovador,Cuidados com a Saúde,100.0,500,Não auditada,Média,205,Não auditada,Média,201,Não auditada,Média,210,616,Alto Risco
00000001030471,UTSI,UTStarcom Holdings Corp,Inovador,Comunicações,50.0,300,Auditada,Média,340,Auditada,Média,310,Auditada,Média,365,1015,Risco Moderado
00000001729173,UXIN,Uxin Ltd,Inovador,Varejo,400.0,4000,Não auditada,Média,203,Não auditada,Média,202,Não auditada,Média,225,630,Alto Risco
00000000102212,UVSP,Univest Financial Corp,Inovador,Bancos,250.0,800,Auditada,Média,331,Auditada,Média,322,Auditada,Média,305,958,Risco Moderado
00000001597835,CMCM,Cheetah Mobile Inc,Tradicional,Tecnologia,200.0,900,Não auditada,Média,205,Não auditada,Média,214,Não auditada,Média,215,634,Alto Risco
00000000022444,CMC,Commercial Metals Co,Tradicional,Metais e Mineração,5543.0,15000,Não auditada,Média,223,Não auditada,Média,212,Não auditada,Média,200,635,Alto Risco
00000000082020,USLM,United States Lime & Minerals Inc,Inovador,Construção,200.0,700,Auditada,Alta,500,Não auditada,Média,233,Auditada,Média,300,1033,Risco Moderado
00000000706698,UTMD,Utah Medical Products Inc,Inovador,Cuidados com a Saúde,100.0,400,Não auditada,Média,240,Não auditada,Média,236,Não auditada,Média,250,726,Alto Risco
00000001227654,CMP,Compass Minerals International Inc,Tradicional,Metais e Mineração,1400.0,4000,Auditada,Alta,505,Auditada,Média,302,Auditada,Média,320,1127,Risco Moderado
00000001824301,CND,Concord Acquisition Corp,Tradicional,Serviços Financeiros,0.0,20,Não auditada,Média,205,Não auditada,Média,257,Auditada,Média,300,762,Alto Risco
00000001733868,CNF,CNFinance Holdings Ltd,Tradicional,Serviços Financeiros,1500.0,5000,Não auditada,Média,200,Não auditada,Média,200,Não auditada,Média,220,620,Alto Risco
00000000816956,CNMD,Conmed Corp,Tradicional,Cuidados com a Saúde,400.0,1500,Não auditada,Alta,441,Auditada,Média,300,Não auditada,Média,270,1011,Risco Moderado
00000001385280,CNK,Cinemark Holdings Inc,Tradicional,Mídia,1200.0,22000,Auditada,Média,330,Auditada,Média,300,Auditada,Média,300,930,Risco Moderado
00000001704720,CNNE,Cannae Holdings Inc,Tradicional,Serviços Financeiros,300.0,1200,Não auditada,Média,215,Não auditada,Média,203,Não auditada,Média,203,621,Alto Risco
00000001224608,CNO,CNO Financial Group Inc,Tradicional,Seguros,1400.0,3400,Auditada,Alta,500,Auditada,Média,322,Auditada,Média,315,1137,Risco Moderado
00000000021175,CNA,CNA Financial Corp,Tradicional,Seguros,10900.0,5800,Auditada,Alta,540,Auditada,Média,329,Auditada,Média,340,1209,Baixo Risco
00000001503584,CMRE,Costamare Inc,Tradicional,Marinha,500.0,800,Não auditada,Média,242,Não auditada,Média,204,Não auditada,Média,200,646,Alto Risco
00000000861459,GVA,Granite Construction Inc,Tradicional,Construção,3500.0,9000,Não auditada,Média,200,Não auditada,Média,200,Não auditada,Média,200,600,Alto Risco
00000001408710,FN,Fabrinet,Tradicional,Equipamentos Elétricos,1800.0,8000,Auditada,Alta,510,Não auditada,Média,209,Não auditada,Média,210,929,Risco Moderado
00000001468174,H,Hyatt Hotels Corp,Tradicional,Hotéis Restaurantes e Lazer,3377.0,66000,Não auditada,Média,235,Não auditada,Média,209,Não auditada,Média,205,649,Alto Risco
00000001561894,HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc,Tradicional,Imobiliário,300.0,250,Não auditada,Excelente,646,Não auditada,Alta,404,Auditada,Média,313,1363,Baixo Risco
00000001834622,HAYW,Hayward Holdings Inc,Tradicional,Construção Civil,600.0,2500,Auditada,Alta,535,Auditada,Média,305,Auditada,Média,300,1140,Risco Moderado
00000001709164,HBB,Hamilton Beach Brands Holding Co,Tradicional,Produtos de Consumo,1700.0,4500,Não auditada,Média,245,Não auditada,Média,272,Não auditada,Média,230,747,Alto Risco
00000001691303,HCC,Warrior Met Coal Inc,Tradicional,Metais e Mineração,700.0,3500,Não auditada,Média,215,Não auditada,Média,200,Não auditada,Média,200,615,Alto Risco
00000001400810,HCI,Hci Group Inc,Tradicional,Seguros,350.0,500,Não auditada,Média,205,Não auditada,Média,260,Auditada,Média,300,765,Alto Risco
00000000354707,HE,Hawaiian Electric Industries Inc,Tradicional,Utilidades,2700.0,7300,Auditada,Alta,585,Auditada,Média,348,Auditada,Média,310,1243,Baixo Risco
00000001528396,GWRE,Guidewire Software Inc,Tradicional,Tecnologia,820.0,3200,Auditada,Alta,549,Auditada,Média,321,Auditada,Média,330,1200,Baixo Risco
00000000313143,HAE,Haemonetics Corp,Tradicional,Cuidados com a Saúde,900.0,5500,Não auditada,Alta,448,Auditada,Média,303,Auditada,Média,305,1056,Risco Moderado
00000001283140,HEP,Holly Energy Partners LP,Tradicional,Energia,600.0,800,Auditada,Alta,511,Não auditada,Média,225,Não auditada,Média,215,951,Risco Moderado
00000001674168,HGV,Hilton Grand Vacations Inc,Tradicional,Hotéis Restaurantes e Lazer,1300.0,7000,Auditada,Média,305,Não auditada,Média,288,Não auditada,Média,250,843,Alto Risco
00000001417398,HI,Hillenbrand Inc,Tradicional,Maquinário,900.0,4000,Não auditada,Alta,489,Auditada,Média,349,Auditada,Média,300,1138,Risco Moderado
00000001498828,HHC,Howard Hughes Corp,Tradicional,Imobiliário,1200.0,1600,Auditada,Alta,500,Auditada,Média,300,Auditada,Média,300,1100,Risco Moderado
00000001404655,HUBS,HubSpot Inc,Tradicional,Tecnologia,1301.0,5400,Não auditada,Alta,480,Auditada,Média,329,Auditada,Média,320,1129,Risco Moderado
00000001789832,HESM,Hess Midstream LP,Tradicional,Energia,500.0,800,Auditada,Média,307,Não auditada,Média,257,Não auditada,Média,255,819,Alto Risco
00000000046619,HEI,HEICO Corp,Tradicional,Aeroespacial e Defesa,2100.0,7000,Não auditada,Média,225,Não auditada,Média,203,Não auditada,Média,205,633,Alto Risco
